nivel,metodo,heuristica,deadlocks,corrida,orden_sucesores,exito,motivo_fin,costo,empujes,nodos_expandidos,nodos_generados,frontera_maxima,frontera_final,estados_visitados,memoria_maxima,tiempo_s
n3_caminata,DFS,—,completo,1,LURD,True,meta,200,36,787,1874,84,81,869,951,0.003
n3_caminata,DFS,—,completo,1,LDUR,True,meta,176,34,423,1034,68,66,490,558,0.001
n3_caminata,DFS,—,completo,1,LDRU,True,meta,210,40,428,1039,88,85,514,601,0.001
n3_caminata,DFS,—,completo,1,LRUD,True,meta,236,26,1365,3273,137,80,1446,1527,0.005
n3_caminata,DFS,—,completo,1,LRDU,True,meta,368,60,1205,2922,134,132,1338,1472,0.004
n3_caminata,DFS,—,completo,1,RUDL,True,meta,378,58,1348,3218,137,123,1472,1599,0.005
n3_caminata,DFS,—,completo,1,RULD,True,meta,412,46,1149,2744,138,127,1277,1405,0.004
n3_caminata,DFS,—,completo,1,RDUL,True,meta,404,60,1181,2858,132,122,1304,1431,0.004
n3_caminata,DFS,—,completo,1,RDLU,True,meta,312,54,1412,3403,106,103,1516,1621,0.005
n3_caminata,DFS,—,completo,1,RLUD,True,meta,204,22,412,983,67,63,476,540,0.001
n3_caminata,DFS,—,completo,1,RLDU,True,meta,260,34,632,1536,89,87,720,809,0.002
n4_matching,DFS,—,completo,1,UDLR,True,meta,366,50,1945,4944,190,180,2126,2308,0.007
n4_matching,DFS,—,completo,1,UDRL,True,meta,408,56,1448,3731,204,195,1644,1841,0.005
n4_matching,DFS,—,completo,1,ULDR,True,meta,388,54,3791,9613,188,181,3973,4157,0.014
n4_matching,DFS,—,completo,1,ULRD,True,meta,402,54,3777,9586,217,197,3975,4173,0.013
n4_matching,DFS,—,completo,1,URDL,True,meta,336,54,1498,3848,160,157,1656,1815,0.006
n4_matching,DFS,—,completo,1,URLD,True,meta,260,42,3567,9035,138,117,3685,3803,0.013
n4_matching,DFS,—,completo,1,DULR,True,meta,512,74,1180,3085,304,280,1461,1748,0.005
n4_matching,DFS,—,completo,1,DURL,True,meta,214,42,2339,6171,138,117,2457,2581,0.009
n4_matching,DFS,—,completo,1,DLUR,True,meta,870,126,2741,7142,523,507,3249,3765,0.010
n4_matching,DFS,—,completo,1,DLRU,True,meta,682,104,1547,4004,351,337,1885,2229,0.006
n4_matching,DFS,—,completo,1,DRUL,True,meta,208,38,339,863,104,97,437,539,0.001
n4_matching,DFS,—,completo,1,DRLU,True,meta,340,66,698,1833,188,180,879,1065,0.003
n4_matching,DFS,—,completo,1,LUDR,True,meta,1136,158,5533,14056,622,612,6146,6762,0.021
n4_matching,DFS,—,completo,1,LURD,True,meta,760,110,4976,12661,431,414,5391,5806,0.018
n4_matching,DFS,—,completo,1,LDUR,True,meta,896,128,2986,7679,484,473,3460,3942,0.012
n4_matching,DFS,—,completo,1,LDRU,True,meta,1158,164,2509,6408,579,570,3080,3658,0.009
n4_matching,DFS,—,completo,1,LRUD,True,meta,364,60,4109,10413,225,188,4298,4487,0.015
n4_matching,DFS,—,completo,1,LRDU,True,meta,908,134,2166,5564,437,425,2592,3029,0.008
n4_matching,DFS,—,completo,1,RUDL,True,meta,196,32,989,2554,114,98,1088,1188,0.003
n4_matching,DFS,—,completo,1,RULD,True,meta,302,56,3536,8969,171,163,3700,3864,0.013
n4_matching,DFS,—,completo,1,RDUL,True,meta,244,44,819,2142,131,120,940,1068,0.003
n4_matching,DFS,—,completo,1,RDLU,True,meta,422,70,778,2022,235,223,1002,1234,0.003
n4_matching,DFS,—,completo,1,RLUD,True,meta,280,54,3904,9882,179,159,4064,4224,0.014
n4_matching,DFS,—,completo,1,RLDU,True,meta,692,114,2717,6938,361,345,3063,3419,0.010
n5_limite,DFS,—,completo,1,UDLR,True,meta,6992,1289,365621,911559,3299,3292,368914,372212,1.528
n5_limite,DFS,—,completo,1,UDRL,True,meta,4268,901,363526,905149,2211,1986,365513,367506,1.451
n5_limite,DFS,—,completo,1,ULDR,True,meta,7692,1515,374143,931162,3228,3222,377366,380589,1.586
n5_limite,DFS,—,completo,1,ULRD,True,meta,6628,1367,362877,903976,2543,2538,365416,367955,1.463
n5_limite,DFS,—,completo,1,URDL,True,meta,1956,459,372669,928559,1954,882,373552,374442,1.543
n5_limite,DFS,—,completo,1,URLD,True,meta,4498,1123,360054,896712,1791,1773,361828,363602,1.437
n5_limite,DFS,—,completo,1,DULR,True,meta,6058,1063,301628,754184,2675,2645,304274,306925,1.182
n5_limite,DFS,—,completo,1,DURL,True,meta,6676,1277,316862,791272,2895,2836,319699,322542,1.314
n5_limite,DFS,—,completo,1,DLUR,True,meta,7596,1437,322004,803932,3456,3282,325287,328577,1.301
n5_limite,DFS,—,completo,1,DLRU,True,meta,7142,1377,316276,789137,2987,2943,319220,322171,1.244
n5_limite,DFS,—,completo,1,DRUL,True,meta,6562,1259,327829,818056,2632,2620,330450,333079,1.355
n5_limite,DFS,—,completo,1,DRLU,True,meta,5316,1037,294796,736367,2063,2054,296851,298913,1.170
n5_limite,DFS,—,completo,1,LUDR,True,meta,7458,1363,368473,918183,3311,3309,371783,375093,1.445
n5_limite,DFS,—,completo,1,LURD,True,meta,7594,1459,381328,948953,3187,3186,384515,387702,1.571
n5_limite,DFS,—,completo,1,LDUR,True,meta,6064,1101,296634,741791,2734,2725,299360,302094,1.178
n5_limite,DFS,—,completo,1,LDRU,True,meta,6356,1199,348979,871023,2774,2765,351745,354519,1.444
n5_limite,DFS,—,completo,1,LRUD,True,meta,5592,1017,356185,888749,2659,2658,358844,361503,1.427
n5_limite,DFS,—,completo,1,LRDU,True,meta,5330,955,332465,829185,2387,2377,334843,337230,1.385
n5_limite,DFS,—,completo,1,RUDL,True,meta,1786,357,315017,789060,819,794,315812,316616,1.256
n5_limite,DFS,—,completo,1,RULD,True,meta,4210,905,334456,835761,1753,1742,336199,337942,1.333
n5_limite,DFS,—,completo,1,RDUL,True,meta,6266,1289,334346,833964,2703,2692,337039,339741,1.386
n5_limite,DFS,—,completo,1,RDLU,True,meta,5904,1197,299935,748858,2506,2491,302427,304927,1.205
n5_limite,DFS,—,completo,1,RLUD,True,meta,5114,963,357377,891153,2204,2203,359581,361785,1.405
n5_limite,DFS,—,completo,1,RLDU,True,meta,6328,1209,335652,837740,2653,2643,338296,340949,1.379
n1_micro,IDDFS,—,completo,1,—,True,meta,8,5,79,193,7,5,27,30,0.000
n1_micro,IDDFS,—,completo,2,—,True,meta,8,5,79,193,7,5,27,30,0.000
n1_micro,IDDFS,—,completo,3,—,True,meta,8,5,79,193,7,5,27,30,0.000
n1_micro,IDDFS,—,completo,4,—,True,meta,8,5,79,193,7,5,27,30,0.000
n1_micro,IDDFS,—,completo,5,—,True,meta,8,5,79,193,7,5,27,30,0.000
n2_akk04,IDDFS,—,completo,1,—,True,meta,45,18,271398,691121,42,22,9642,9643,1.202
n2_akk04,IDDFS,—,completo,2,—,True,meta,45,18,271398,691121,42,22,9642,9643,1.232
n2_akk04,IDDFS,—,completo,3,—,True,meta,45,18,271398,691121,42,22,9642,9643,1.216
n2_akk04,IDDFS,—,completo,4,—,True,meta,45,18,271398,691121,42,22,9642,9643,1.231
n2_akk04,IDDFS,—,completo,5,—,True,meta,45,18,271398,691121,42,22,9642,9643,1.203
n3_caminata,IDDFS,—,completo,1,—,True,meta,104,22,355058,863930,48,29,1806,1826,1.431
n3_caminata,IDDFS,—,completo,2,—,True,meta,104,22,355058,863930,48,29,1806,1826,1.437
n3_caminata,IDDFS,—,completo,3,—,True,meta,104,22,355058,863930,48,29,1806,1826,1.458
n3_caminata,IDDFS,—,completo,4,—,True,meta,104,22,355058,863930,48,29,1806,1826,1.430
